Time (Years),Stock Price
0.231000,113.227682
0.232000,114.407729
0.233000,115.348362
0.234000,115.630057
0.235000,115.173495
0.236000,115.361690
0.237000,115.670245
0.238000,116.501510
0.239000,116.497640
0.240000,118.456615
0.241000,118.170520
0.242000,118.693914
0.243000,118.024917
0.244000,117.137641
0.245000,116.756249
0.246000,118.409378
0.247000,118.353458
0.248000,116.977791
0.249000,117.484152
0.250000,115.563977
0.251000,115.048371
0.252000,113.797850
0.253000,114.311880
0.254000,113.100819
0.255000,113.690569
0.256000,113.848514
0.257000,113.444307
0.258000,112.918424
0.259000,112.130538
0.260000,111.970346
0.261000,111.534257
0.262000,111.760929
0.263000,111.669064
0.264000,111.816259
0.265000,113.023000
0.266000,111.567597
0.267000,111.194773
0.268000,110.744826
0.269000,111.387520
0.270000,110.224792
0.271000,110.645878
0.272000,110.044471
0.273000,109.229280
0.274000,108.548368
0.275000,108.412707
0.276000,108.810906
0.277000,108.479201
0.278000,108.526168
0.279000,108.366662
0.280000,106.819450
0.281000,106.267125
0.282000,105.965124
0.283000,105.948526
0.284000,106.084262
0.285000,105.732871
0.286000,106.769625
0.287000,105.514306
0.288000,105.430490
0.289000,104.902865
0.290000,105.881049
0.291000,105.722117
0.292000,107.331255
0.293000,106.216684
0.294000,106.877822
0.295000,105.966158
0.296000,107.658398
0.297000,108.238944
0.298000,107.167656
0.299000,106.396667
0.300000,107.974492
0.301000,108.165386
0.302000,108.188665
0.303000,108.327743
0.304000,107.071766
0.305000,106.961824
0.306000,106.972996
0.307000,107.436222
0.308000,106.399118
0.309000,105.425740
0.310000,106.994758
0.311000,107.774441
0.312000,108.613996
0.313000,108.434261
0.314000,108.969336
0.315000,108.860958
0.316000,108.600157
0.317000,108.804183
0.318000,108.660496
0.319000,108.826180
0.320000,108.953123
0.321000,110.529670
0.322000,109.676331
0.323000,110.376265
0.324000,110.615715
0.325000,110.305143
0.326000,109.404284
0.327000,107.820775
0.328000,108.261488
0.329000,108.277612
0.330000,107.803427
0.331000,108.295554
0.332000,108.307249
0.333000,107.558020
0.334000,106.600293
0.335000,107.752667
0.336000,108.404538
0.337000,108.773098
0.338000,108.087305
0.339000,109.560414
0.340000,110.901352
0.341000,110.790055
0.342000,109.129684
0.343000,109.011823
0.344000,109.298589
0.345000,108.409503
0.346000,107.599631
0.347000,108.557463
0.348000,108.506098
0.349000,108.027002
0.350000,108.448694
0.351000,107.455941
0.352000,107.456902
0.353000,107.239521
0.354000,108.894278
0.355000,108.931520
0.356000,108.537837
0.357000,108.700131
0.358000,105.809998
0.359000,104.930134
0.360000,105.550300
0.361000,106.170499
0.362000,106.953264
0.363000,108.692702
0.364000,108.412169
0.365000,108.282110
0.366000,109.028287
0.367000,106.884742
0.368000,105.663430
0.369000,106.466407
0.370000,106.694089
0.371000,108.164183
0.372000,107.911339
0.373000,108.319688
0.374000,107.636912
0.375000,106.328307
0.376000,105.780448
0.377000,107.629441
0.378000,106.848378
0.379000,107.629134
0.380000,107.278923
0.381000,106.110043
0.382000,107.154986
0.383000,107.440822
0.384000,106.873794
0.385000,107.280544
0.386000,107.606014
0.387000,107.508143
0.388000,108.052455
0.389000,108.417068
0.390000,107.979543
0.391000,108.756212
0.392000,107.768952
0.393000,106.985912
0.394000,107.510680
0.395000,107.888691
0.396000,108.751242
0.397000,109.030775
0.398000,108.380944
0.399000,107.483508
0.400000,106.983542
0.401000,106.769903
0.402000,108.480750
0.403000,108.319857
0.404000,109.399256
0.405000,109.465063
0.406000,108.260834
0.407000,109.193460
0.408000,109.105595
0.409000,108.145186
0.410000,107.470359
0.411000,109.241174
0.412000,109.691096
0.413000,109.312455
0.414000,108.418641
0.415000,108.981945
0.416000,108.912132
0.417000,109.935098
0.418000,110.273183
0.419000,110.308894
0.420000,110.387344
0.421000,111.600675
0.422000,112.042487
0.423000,110.729093
0.424000,111.359498
0.425000,112.395971
0.426000,111.803809
0.427000,112.439573
0.428000,111.303137
0.429000,111.475370
0.430000,110.735164
0.431000,111.466641
0.432000,112.416310
0.433000,112.744407
0.434000,112.731262
0.435000,112.895699
0.436000,113.531145
0.437000,113.421179
0.438000,114.997459
0.439000,113.135592
0.440000,111.735724
0.441000,112.071965
0.442000,111.868325
0.443000,111.405569
0.444000,111.780890
0.445000,112.686290
0.446000,113.976113
0.447000,114.356327
0.448000,114.012009
0.449000,114.466237
0.450000,115.217738
0.451000,116.493731
0.452000,117.576884
0.453000,119.417440
0.454000,121.060921
0.455000,121.024611
0.456000,122.758918
0.457000,122.481485
0.458000,121.543237
0.459000,121.258906
0.460000,120.802923
0.461000,121.655125
0.462000,122.768203
0.463000,122.178858
0.464000,121.448082
0.465000,119.727346
0.466000,122.394204
0.467000,122.253589
0.468000,120.790901
0.469000,120.038654
0.470000,121.062629
0.471000,121.205678
0.472000,121.048577
0.473000,120.489072
0.474000,120.361471
0.475000,120.208041
0.476000,120.398212
0.477000,120.758838
0.478000,121.117486
0.479000,119.687208
0.480000,119.251675
0.481000,118.784211
0.482000,117.143144
0.483000,117.042554
0.484000,117.612908
0.485000,117.555031
0.486000,117.129978
0.487000,119.801917
0.488000,118.285240
0.489000,118.139334
0.490000,117.813941
0.491000,117.757654
0.492000,116.740455
0.493000,118.344786
0.494000,117.434270
0.495000,115.998762
0.496000,115.805929
0.497000,114.438420
0.498000,114.500229
0.499000,115.376813
